produto;quantidade;preco_unitario
Monitor;10;799.90
Teclado;25;120.50
Mouse;40;50.00
Webcam;15;250.00
Notebook;5;3499.90
Headset;18;199.90
Mousepad;30;35.00
Cadeira Gamer;4;1299.90
HD Externo;12;420.00
SSD 1TB;8;550.00
Placa de Video;3;2899.90
Memoria RAM 16GB;14;320.00
Fonte 650W;9;410.00
Gabinete;7;350.00
Monitor 144Hz;6;1299.90
Teclado Mecanico;20;350.00
Mouse Gamer;22;180.00
Webcam HD;11;210.00
Pen Drive 64GB;35;45.00
Pen Drive 128GB;28;75.00
HD 1TB;16;300.00
HD 2TB;10;420.00
SSD 512GB;13;320.00
Cooler CPU;17;95.00
Ventoinha 120mm;26;40.00
Roteador;9;280.00
Switch 8 Portas;6;150.00
Cabo HDMI;40;25.00
Cabo DisplayPort;18;55.00
Suporte Monitor;8;120.00
Tablet;5;900.00
Smartphone;7;2200.00
Carregador USB-C;19;60.00
Dock Station;4;350.00
Microfone;12;270.00
Caixa de Som;14;210.00
Controle Gamer;10;260.00
Adaptador WiFi;16;85.00
Hub USB;21;70.00
Scanner;3;650.00
Impressora;6;750.00
Projetor;2;1800.00
Placa Mae;9;850.00
Processador;5;1500.00
Memoria RAM 8GB;20;180.00
Estabilizador;11;140.00
Nobreak;4;900.00
Luminaria LED;23;65.00
Suporte Notebook;15;90.00
Base Cooler Notebook;13;110.00
Webcam FullHD;8;320.00
Teclado Sem Fio;17;150.00
Mouse Sem Fio;19;95.00